Type
Wright Flyer III
Dirigible
Curtiss seaplane
Zeppelin L-1 
Zeppelin L-2 
Zeppelin L-8 
Zeppelin L-10 
Schutte-Lanz S-L-10 
Zeppelin L-32 
Zeppelin L-31 
Super Zeppelin 
Zeppelin L-34 
Airship
Schutte-Lanz S-L-9 
Zeppelin L-22 
Zeppelin L-43 
Zeppelin L-23 
Zeppelin L-44 
Zeppelin L-59 
Zeppelin L-70 
Zeppelin L-53 
De Havilland DH-4
Curtiss R-4LM
De Havilland DH.4
Curtiss JN-4H
Armstrong-Whitworth F-K-8
Junkers JL-6
Junkers F-13
Salmson 2-A-2
Breguet 14
Handley Page HP-16
Unknown
Royal Airship Works ZR-2 
Potez IX
Bristol 28 Tourer
Handley Page O/10
Dirigible Roma 
de Havilland DH-18 / Farman F-60 Goliath
Vickers Viking
Bleriot Spad 27
de Havilland DH-9
Lioré-et-Olivier H-13
Farman F-60 Goliath
Blériot Spad 46
de Havilland DH-34
Zeppelin Dixmunde 
Fokker F.III
de Havilland DH-34B
Fokker (KLM)  F.III
Dirigible ZR-1 Shenandoah 
Curtiss Carrier Pigeon
Caudron C-61
Fokker F-4
Bleriot 155
Sikorsky S-25
Fokker FG III
Handley Page W-10
Ryan M-1
Fokker F-VII
de Havilland DH-9C
Douglas M-4
SPCA Meteore 63
Fokker F-VIII
Fokker Universal
BFW M-18
Dornier Merkur
Fairchild FC-2
Farman F-121 Jabiru
Latécoère 23
Latecoere 25
Boeing 40
Rohrbach Roland
Latecoere 26
Ford 4
AEGK
Vickers 74 Vulcan
Fokker (KLM) F.III
Ford 4-AT-B Tri Motor
Bleriot Spad 56
de Havilland DH.50J
Fokker Super Universal
Latecoere 32
Hamilton H-47
Travel Air 4000
Dornier Wal
Junkers G24
Junkers G-31
Blériot Spad 66
Stearman C-38
CMASA Wal
Ford 5-AT-B Tri Motor
Fokker F-VIIA
Ford 5-AT-B Tri-Motor / B-PW-9D
Fokker F-III
Cams 53
Fokker F-X
Ford 5-AT-B Tri-Motor
Domier Delphin III
Lockheed Vega
Kalinin K-4
Fokker FG II
de Havilland DH-66 Hercules
Latecoere 25-3-R
Fairchild 71
Pitcairn PA-6 Mailwing
Short Calcutta
Loening C-2C
Lockheed Vega 5
Junkers G-24
Liore et Olivier 190
Stearman M-2 Speedmail
Douglas M-3
Bernard 192
Arado V1
Travel Air B6000
Boeing 95
Farman 190
Ford 5-AT-C Tri Motor
Travel Air A6000A
Farman F-63
Latecoere 28
Ford Tri-Motor 5
Sabca F-VII
Royal Airship Works R-101
Messerschmitt M-20B
Handley Page W-8
Loening C-W Air Yaht
Desoutter II
Fokker Universal F-14
Avro 10
Fokker F10A Trimotor
Messerschmitt M-20
Junkers W-34
Fokker F-VIIB
Lockheed Vega 2
Lasco Lascowl
Heinkel HE-2
Lockheed Orion 9
De Havilland DH.80
Stinson
Fokker F-VIIb-3M
CAMS 56
Fairchild Pilgrim 100A
Stinson SM-2A
Stinson SM-6000B
Fairchild
Stearman C-3MB
Fokker F-10A
Northrop Alpha
Farman F-190
Junkers G-23
Fokker F-10
Liore-et-Olivier 213
De Havilland DH-80
Junkers W-33
Travel Air 6000
Ford 5
De Havilland DH-60
Curtiss Condor 18
Stearman 4
Ford 5-AT-D
Fairchild FC-2W
Armstrong Whitworth Argosy II
Goodyear-Zeppelin U.S.S. Akron 
Cams 33
Latecoere 28-1
Pitcairns PA-6
Farman F-306
Boeing 247-D
Farman F-301
Boeing 247
Northrop Delta
Sinson
Kalinin K-7
Focke-Wulf A-17
Dewoitine D-332
Breguet 280T
Latécoère 28
Sikorsky S-38 Flying Boat
Ford 5-AT-C Tri-Motor
Sikorsky S-38BB
Wibault 282T-12
Curtiss Condor T-32
Lockheed Orion
Curtiss AT-32C Condor
Sikorsky S-38B
Stinson  SM-6000B
de Havilland DH-50A
de Havilland DH-86
De Havilland DH-61
Stinson SM-6000-B
Lockheed Vega 5C
Ford 4-AT-E Tri-motor
Douglas DC-2-115A
Lockheed Orion 9D
Consolidated Fleetster
Junkers JU-52/3m
Rochrbach Roland
de Havilland Dragon 1
Farman F-300
Fokker F-12
Douglas DC-2-112
Ford model 4-AT-E
Tupolev ANT-20 / I-5
Boeing 221
Stinson SM6000B Tri-motor
Ford Tri-Motor / Ford Tri-Motor
Fokker F-XXII
General 102-E
Douglas DC-2
Stinson Model A
Waco, model YLC
