index;cn/In
0;1
1;
2;
3;
4;
5;
6;
7;
8;
9;
10;
11;
12;
13;
14;
15;
16;
17;
18;
19;
20;
21;
22;
23;
24;
25;
26;
27;
28;
29;
30;
31;
32;
33;
34;
35;
36;
37;
38;
39;31
40;20
41;
42;178
43;HP-25
44;
45;
46;
47;
48;
49;
50;
51;
52;
53;
54;
55;R-38
56;160
57;6116
58;HP-43
59;
60;4
61;
62;
63;
64;1254
65;
66;
67;
68;
69;
70;
71;
72;
73;
74;
75;
76;
77;29
78;
79;
80;
81;
82;
83;1535
84;
85;
86;
87;
88;36
89;590
90;
91;
92;KLM-2
93;
94;
95;
96;
97;
98;
99;
100;
101;
102;5307
103;4759
104;660
105;2
106;
107;1554
108;W10/3
109;
110;
111;
112;
113;86
114;
115;
116;1567
117;
118;591
119;4993
120;
121;4840
122;30
123;
124;
125;
126;
127;798
128;
129;
130;
131;
132;39
133;
134;
135;
136;
137;
138;
139;
140;
141;
142;
143;
144;742
145;439
146;
147;760
148;9
149;1533 (KLM-1)
150;4-AT-26
151;
152;
153;809
154;1531
155;
156;
157;
158;
159;46
160;
161;
162;4-AT-47
163;63
164;
165;3005
166;
167;
168;40
169;
170;
171;53
172;
173;
174;4-AT-41
175;617
176;4-AT-010
177;
178;
179;
180;
181;W10/4
182;5-AT-002
183;151
184;
185;
186;
187;
188;1571
189;
190;5-AT-002
191;239
192;704
193;
194;
195;5748
196;
197;
198;97
199;911
200;1
201;
202;
203;
204;
205;
206;
207;
208;5-AT-046
209;
210;963
211;
212;
213;634
214;
215;5-AT-033
216;44
217;87
218;5-AT-050
219;
220;
221;R-101
222;443
223;
224;120
225;W8-7
226;
227;921
228;
229;
230;
231;
232;
233;
234;
235;241
236;1063
237;442
238;
239;
240;
241;5096
242;64
243;177
244;
245;
246;
247;
248;5AT-029
249;
250;
251;334
252;107
253;178
254;
255;
256;
257;
258;49
259;5226
260;
261;
262;
263;5034
264;
265;
266;
267;
268;
269;1027
270;
271;
272;
273;
274;
275;
276;5-AT-062
277;
278;
279;
280;
281;
282;
283;
284;
285;696
286;
287;
288;
289;
290;
291;
292;
293;
294;5-AT-098
295;
296;184
297;AW-363
298;
299;
300;29
301;2737
302;1701
303;
304;5-AT-005
305;
306;1685
307;
308;
309;
310;
311;
312;
313;47
314;2735
315;528
316;1
317;
318;1739
319;925
320;6606
321;
322;5-AT-066
323;
324;8
325;
326;22
327;5-AT-055
328;176
329;
330;
331;53
332;
333;
334;5004
335;
336;2301
337;
338;2311
339;2311
340;
341;2008
342;
343;4-AT-63
344;1317
345;
346;
347;4051
348;45
349;6031
350;
351;
352;5242
353;
354;1295
355;4-AT-49
356;
357;
358;
359;
360;5-AT-112/5-AT-006
361;5358
362;
363;1335
364;
365;9103
366;
367;195
368;
369;2312
370;1698
371;2033
372;
373;1704
374;906
375;
376;
377;
378;
379;30002
380;915
381;S-752
382;1307
383;4018
384;19
385;5
386;229
387;
388;5-AT-115
389;
390;1247
391;
392;359
393;
394;
395;
396;
397;
398;4211
399;4077
400;A-19/4
401;
402;
403;
404;
405;
406;
407;
408;
409;170
410;
411;
412;5506
413;
414;5498
415;
416;5078
417;1
418;1358
419;1957
420;
421;1258
422;1018
423;
424;1737
425;1696
426;
427;1913
428;1926
429;715
430;S-818
431;1256
432;4207
433;D-LZ129
434;916
435;1055
436;1585
437;30014
438;4305
439;
440;1289
441;
442;
443;2
444;
445;
446;1914
447;1830
448;5827
449;
450;
451;4213
452;11
453;5777
454;1407
455;4207
456;
457;
458;
459;5
460;
461;
462;1299
463;4031/12
464;
465;4063
466;124
467;
468;1439
469;5453
470;1956
471;
472;
473;
474;
475;
476;15013
477;1432
478;
479;AW-785
480;556
481;
482;
483;
484;4024
485;1424
486;94001
487;1369
488;
489;
490;5928
491;
492;1566
493;
494;2316
495;2021
496;
497;4914
498;
499;1907
500;
501;1413
502;
503;1329
504;1408
505;4042
506;
507;S-812
508;
509;
510;
511;1994
512;1366
513;6076
514;1253
515;7372
516;
517;25
518;
519;
520;086/0951
521;5942
522;
523;
524;
525;5800
526;2142
527;
528;5854
529;1444
530;34017
531;1415
532;HP42/1
533;1484
534;
535;5494
536;22
537;1
538;
539;1986
540;2188
541;1369
542;1973
543;1925
544;10
545;
546;2
547;2175
548;32013
549;5523
550;
551;1930
552;1501
553;3204
554;5751
555;2034
556;1985
557;
558;
559;
560;2083
561;12
562;
563;4206
564;7172
565;2124
566;2207
567;
568;3295
569;
570;1982
571;1081
572;S-850
573;
574;9
575;2309
576;S-842
577;
578;1965
579;2133
580;1567
581;
582;1978
583;2129
